target_velocities,holding_time,rpm
2385000,1,238.5
2388750,1,238.875
2392500,1,239.25
2396250,1,239.625
2400000,1,240
2403750,1,240.375
2407500,1,240.75
2411250,1,241.125
2415000,1,241.5
2418750,1,241.875
2422500,1,242.25
2426250,1,242.625
2430000,1,243
2433750,1,243.375
2437500,1,243.75
2441250,1,244.125
2445000,1,244.5
2448750,1,244.875
2452500,1,245.25
2456250,1,245.625
2460000,1,246
2463750,1,246.375
2467500,1,246.75
2471250,1,247.125
2475000,1,247.5
2478750,1,247.875
2482500,1,248.25
2486250,1,248.625
2490000,1,249
2493750,1,249.375
2497500,1,249.75
2501250,1,250.125
2505000,1,250.5
2508750,1,250.875
2512500,1,251.25
2516250,1,251.625
2520000,1,252
2523750,1,252.375
2527500,1,252.75
2531250,1,253.125
2535000,1,253.5
2538750,1,253.875
2542500,1,254.25
2546250,1,254.625
2550000,1,255
2553750,1,255.375
2557500,1,255.75
2561250,1,256.125
2565000,1,256.5
2568750,1,256.875
2572500,1,257.25
2576250,1,257.625
2580000,1,258
2583750,1,258.375
2587500,1,258.75
2591250,1,259.125
2595000,1,259.5
2598750,1,259.875
2602500,1,260.25
2606250,1,260.625
2610000,1,261
2613750,1,261.375
2617500,1,261.75
2621250,1,262.125
2625000,1,262.5
2628750,1,262.875
2632500,1,263.25
2636250,1,263.625
2640000,1,264
2643750,1,264.375
2647500,1,264.75
2651250,1,265.125
2655000,1,265.5
2658750,1,265.875
2662500,1,266.25
2666250,1,266.625
2670000,1,267
2673750,1,267.375
2677500,1,267.75
2681250,1,268.125
2685000,1,268.5
2688750,1,268.875
2692500,1,269.25
2696250,1,269.625
2700000,1,270
2703750,1,270.375
2707500,1,270.75
2711250,1,271.125
2715000,1,271.5
2718750,1,271.875
2722500,1,272.25
2726250,1,272.625
2730000,1,273
2733750,1,273.375
2737500,1,273.75
2741250,1,274.125
2745000,1,274.5
2748750,1,274.875
2752500,1,275.25
2756250,1,275.625
2760000,1,276
2763750,1,276.375
2767500,1,276.75
2771250,1,277.125
2775000,1,277.5
2778750,1,277.875
2782500,1,278.25
2786250,1,278.625
2790000,1,279
2793750,1,279.375
2797500,1,279.75
2801250,1,280.125
2805000,1,280.5
2808750,1,280.875
2812500,1,281.25
2816250,1,281.625
2820000,1,282
2823750,1,282.375
2827500,1,282.75
2831250,1,283.125
2835000,1,283.5
2838750,1,283.875
2842500,1,284.25
2846250,1,284.625
2850000,1,285
2853750,1,285.375
2857500,1,285.75
2861250,1,286.125
2865000,1,286.5
2868750,1,286.875
2872500,1,287.25
2876250,1,287.625
2880000,1,288
2883750,1,288.375
2887500,1,288.75
2891250,1,289.125
2895000,1,289.5
2898750,1,289.875
2902500,1,290.25
2906250,1,290.625
2910000,1,291
2913750,1,291.375
2917500,1,291.75
2921250,1,292.125
2925000,1,292.5
2928750,1,292.875
2932500,1,293.25
2936250,1,293.625
2940000,1,294
2943750,1,294.375
2947500,1,294.75
2951250,1,295.125
2955000,1,295.5
2958750,1,295.875
2962500,1,296.25
2966250,1,296.625
2970000,1,297
2973750,1,297.375
2977500,1,297.75
2981250,1,298.125
2985000,1,298.5
2988750,1,298.875
2992500,1,299.25
2996250,1,299.625
3000000,1,300
3003750,1,300.375
3007500,1,300.75
3011250,1,301.125
3015000,1,301.5
3018750,1,301.875
3022500,1,302.25
3026250,1,302.625
3030000,1,303
3033750,1,303.375
3037500,1,303.75
3041250,1,304.125
3045000,1,304.5
3048750,1,304.875
3052500,1,305.25
3056250,1,305.625
3060000,1,306
3063750,1,306.375
3067500,1,306.75
3071250,1,307.125
